# Devanagari -> the most commonly attested romanization.
# Derived from Google Dakshina v1.0, CC BY-SA 4.0.
अं	an
कोस्टोलो	costolo
कोह	koh
कोहनियों	kohaniyon
कोहनी	kohani
कोहबर	kohbar
कोहरे	kohare
कोहली	kohli
कोहाट	kohat
कोहिनूर	kohinoor
कोहेन	kohen
कौंसिल	kaunsil
कौड़ियों	kaudiyon
कौड़ी	kaudi
कौन	kaun
कौनसा	kaunsa
कौमार्य	kaumary
कौमी	kaumi
कौमुदी	kaumudi
कौर	kaur
कौरव	kaurav
कौरवों	kauravon
कौल	kaul
कौवे	kauve
कौवों	kauvon
कौशर	kaushar
कौशल्या	kaushalya
कौसर	kausar
क्या	kya
क्यारी	kyari
क्यूंकि	kyunki
क्यूबाई	cubai
क्यों	kyun
क्योंकि	kyunki
क्योटो	kyoto
क्रंदन	krandan
क्रम	kram
क्रमबद्ध	krambaddh
क्रमश	kramash
क्रमांक	kramank
क्रमानुसार	kramanusar
क्रमिक	kramik
क्रय	kray
क्रयविक्रय	kaivikrai
क्रयशक्ति	krayshakti
क्रशिंग	crushing
क्रांतिकारियों	krantikariyon
क्रांतिकारी	krantikari
क्राइम	crime
क्राइम्स	crimes
क्राइसिस	crisis
क्राइस्ट	christ
क्राउड	crowd
क्राउडफंडिंग	crowdfunding
क्राउन	crown
क्राफ्ट	craft
क्राफ्ट्स	crafts
क्रायोजेनिक	cryogenic
क्रार्यक्रम	karyakram
क्राॅसिंग	crossing
क्रिएचर	creature
क्रिएट	create
क्रिएटर	creator
क्रिएटर्स	creators
क्रिएटिंग	creating
क्रिकइन्फो	cricinfo
क्रिटिकल	critical
क्रिटिक्स	critics
क्रिया	kriya
क्रियाएं	kriyaen
क्रियाओं	kriyaon
क्रियाकलाप	kriyakalap
क्रियाकलापों	kriyakalapon
क्रियात्मक	kriyatmak
क्रियान्वयन	kriyanvayan
क्रियान्वित	kriyanvit
क्रियाविधि	kriyavidhi
क्रियाशील	kriyashil
क्रियोल	creole
क्रिश्चियन	christian
क्रिस	chris
क्रिसमस	christmas
क्रिस्चियन	christian
क्रिस्टल	crystal
क्रिस्टलोग्राफी	crystallography
क्रिस्टिना	christina
क्रिस्टी	christy
क्रिस्टीना	kristina
क्रिस्टोफर	christopher
क्रिस्प	crisp
क्रीज	crease
क्रीड़ा	kreeda
क्रीड़ाओं	cridaon
क्रीम	cream
क्रीमिया	crimea
क्रुद्ध	kruddh
क्रुप	crop
क्रुसेडर	crusader
क्रू	crew
क्रूज	croj
क्रूड	crude
क्रूर	krur
क्रूरता	krurata
क्रूसेडर	crusader
क्रेडिट	credit
क्रेन	crane
क्रेनियल	cranial
क्रेनों	cranon
क्रैंक	crank
क्रैच	crach
क्रैमर	craimer
क्रैश	crash
क्रॉफ्ट	craft
क्रॉस	cross
क्रॉसरोड्स	crossroads
क्रॉसिंग	crossing
क्रॉसिंगों	crosingo
क्रो	crow
क्रोएशिया	croatia
क्रोएशियाई	croatia
क्रोध	krodh
क्रोधित	krodhit
क्रोधी	krodhi
क्रोनिक	chronic
क्रोमोसोम	chromosome
क्रौंच	cranch
क्लक्स	clucks
क्लब	club
क्लबों	clabon
क्लर्क	clerk
क्लस्टर	cluster
क्लाइंट	client
क्लाइंबिंग	climbing
क्लाइन	cline
क्लाइमेक्स	climax
क्लाइमैक्स	climax
क्लाइव	clive
क्लाउड	cloud
क्लारा	clara
क्लार्क	clark
क्लासमेट	classmate
क्लासिक	classic
क्लासेज	classes
क्लिंट	clint
क्लिंटन	clinton
क्लिक	click
क्लिक्स	clicks
क्लिनिक	clinic
क्लिनिकल	clinical
क्लिप	clip
क्लिष्ट	clisht
क्लींजिंग	cleansing
क्लीन	clean
क्लीनर	cleaner
क्लीनिक	clinic
क्लीवलैंड	cleanland
क्लेश	klesh
क्लॉक	clock
क्लॉज़	clause
क्लॉर्क	clark
क्लोन	clone
क्लोनिंग	cloning
क्लोराइड	chloride
क्लोरिन	chlorine
क्लोरीन	chlorine
क्वांटम	quantum
क्वात्रोची	quattrocchi
क्वायर	quar
क्वार्टर	quarter
क्वालिटी	quality
क्वालिफाइंग	qualifying
क्वालीफाइंग	qualifying
क्वालीफाई	qualify
क्वालीफायर	qualifier
क्विज	quiz
क्विट	quit
क्वींसलैंड	queensland
क्वीन	queen
क्वेटा	queta
क्वेश्चन	question
क्वेस्ट	quest
क्ष	ksh
क्षण	kshan
क्षणिक	kshanik
क्षणों	kshanon
क्षति	kshati
क्षतिग्रस्त	kshatigrast
क्षतिपूर्ति	kshatipurti
क्षत्रपों	kshatrapon
क्षत्रिय	kshtriy
क्षत्रियों	kshatriyon
क्षत्रीय	kshatriya
क्षमता	kshamta
क्षमताएं	kshamtaen
क्षमताओं	kshamtaon
क्षमतावाले	kshamtawaale
क्षमा	kshama
क्षय	kshay
क्षार	kshar
क्षारीय	kshaariy
क्षुद्रग्रह	kshudragrah
क्षुधा	kshudha
क्षुब्ध	kshubdh
क्षेत्र	kshetra
क्षेत्रफल	kshetrafal
क्षेत्ररक्षण	khsetarshan
क्षेत्रवार	kshetravar
क्षेत्रवासी	kshetrawasi
क्षेत्राधिकार	kshetradhikar
क्षेत्री	kshetri
क्षेत्रीय	kshetiya
क्षेेत्र	kshetra
क्षैतिज	kshaitij
क्षोभ	kshobh
खंगार	khangar
खंगारोत	khangarot
खंगाले	khangale
खंजन	khanjan
खंजर	khanjar
खंडन	khandan
खंडपीठ	khandpeeth
खंडहर	khandhar
खंडहरों	khandharon
खंडाला	khandala
खंडित	khandit
खंडू	khandu
खंडेराव	khanderav
खंडेलवाल	khandelwal
खंडेला	khandela
खंडों	khandon
खंदक	khandak
खंभे	khambhe
खंभों	khambhon
खंरोच	khanroch
खगड़िया	khagdiya
खगोल	khagol
खगोलविद	khagolvid
खगोलविदों	khagolvidon
खगोलशास्त्र	khagolshastra
खगोलशास्त्रियों	khagolshastrayon
खगोलशास्त्री	khagolshastri
खगोलीय	khagoliy
खच्चर	khachchar
खच्चरों	khachcharon
खजाने	khajaaney
खजुआ	khajua
खजुराहो	khajuraho
खजुरिया	khajuriya
खजूर	khajoor
खजूरिया	khajuriya
खजौली	khajauli
खट	khat
खटखटाए	khatkhatae
खटाई	khatai
खटीमा	khatima
खट्टे	khatte
खड़का	khadka
खड़ाऊ	khadau
खड़िया	khadiya
खड़ी	khadi
खड़े	khade
खड्डा	khadda
खड्डे	khadde
खतना	khatna
खतने	khatane
खतरनाक	khatarnaak
खतरा	khatra
खतरे	khatre
खतरों	khatron
खतौनी	khatauni
खत्म	khatam
खत्री	khatri
खदान	khadan
खदानों	khadanon
खदीजा	khadija
खदेड़	khaded
खदेड़े	khadede
खन	khan
खनन	khanan
खनाल	khanal
खनिज	khanij
खनिजों	khanijon
खन्ना	khanna
खपरैल	khaprail
खपाया	khapaya
खफा	khafa
खबर	khabar
खबरी	khabari
खबरें	khabaren
खबरों	khabron
खमीर	khamir
खमेर	khamer
खयालों	khayalon
खर	khar
खरगोश	khargosh
खरगौन	khargaun
खरड़	kharad
खरपतवार	kharpatvaar
खरपतवारों	kharpatwaron
खरबंदा	kharbanda
खरबपति	kharabpati
खरबूजे	kharbuje
खरा	khara
खराब	kharab
खराबी	kharabi
खरी	khari
खरीद	kharid
खरीदता	khareedata
खरीदती	khareedati
खरीदते	khareedatey
खरीदना	kharidna
खरीदनी	khareedani
खरीदने	khareedaney
खरीदा	kharida
खरीदार	kharidar
खरीदारी	kharidari
खरीदारों	khareedaaron
खरीदिए	kharidiye
खरीदी	kharidi
खरीदे	kharide
खरीफ	khareef
खरे	khare
खर्च	kharch
खर्चा	kharcha
खर्चे	kharch
खर्चों	kharchon
खर्राटे	kharate
खलिस्तान	khalistan
खली	khali
खलीफा	khalifa
खलीफाओं	khalifaon
खलीलाबाद	khalilabad
खलीलुल्लाह	khalilullah
खले	khale
खसरा	khasra
खसरे	khasre
ख़ज़ाने	khajane
ख़तरे	khatare
ख़ान	khan
ख़ारिज	kharij
ख़ाली	khali
ख़ास	khas
ख़ेमा	khema
खा	kha
खां	khan
खांडू	khandu
खांडेकर	kahndekar
खांसते	khanste
खांसी	khansi
खाइयों	khaeyon
खाई	khai
खाए	khae
खाओ	khao
खाकर	khakar
खाकी	khaaki
खागा	khaga
खाजा	khaja
खाजूवाला	khaajuvala
खाटूश्याम	khatushyam
खाड़ी	khadi
खाता	khaata
खातिर	khaatir
खाती	khaati
खातों	khaaton
खात्मा	khatma
खाद	khaad
खादी	khadi
